academic_stream,twelfth_percentage,budget_range,primary_interest,risk_appetite,india_vs_abroad,india_entrance_exams,abroad_entrance_exams,visa_policy_summary,university_comparison,cutoff_criteria
Arts,72.3,10-20L,Government,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,72.1,20-30L,Government,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,84.6,5-10L,Medicine,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,69.7,20-30L,Government,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,72.8,20-30L,Business,Low,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,65.6,10-20L,Government,High,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,76.6,30-50L,Business,High,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,55.5,30-50L,Government,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,68.3,30-50L,Business,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,47.9,20-30L,Business,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,74.8,20-30L,Arts,Low,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,82.4,20-30L,Business,High,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,67.4,20-30L,Medicine,High,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,70.4,30-50L,Government,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,69.6,5-10L,Technology,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,86.7,10-20L,Technology,Low,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,72.6,5-10L,Technology,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,70.5,5-10L,Research,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,77.0,20-30L,Government,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,76.9,20-30L,Technology,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,59.7,20-30L,Government,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,74.2,20-30L,Government,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,46.6,30-50L,Technology,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,84.7,20-30L,Government,Low,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,71.7,10-20L,Business,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,75.5,30-50L,Medicine,High,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,73.0,50L+,Government,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,82.2,5-10L,Technology,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,78.3,5-10L,Arts,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,65.1,20-30L,Medicine,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,64.5,10-20L,Arts,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,79.7,10-20L,Government,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,83.3,5-10L,Medicine,High,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,84.1,5-10L,Medicine,High,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,74.1,30-50L,Research,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,80.0,10-20L,Research,High,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,77.9,30-50L,Research,Low,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,53.3,10-20L,Technology,High,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,77.1,5-10L,Medicine,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,75.7,20-30L,Arts,High,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,98.1,30-50L,Research,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,70.2,10-20L,Technology,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,70.3,30-50L,Technology,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,90.5,5-10L,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,83.7,10-20L,Technology,Low,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,98.0,50L+,Arts,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,73.8,30-50L,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,54.5,5-10L,Business,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,69.0,20-30L,Business,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,66.9,10-20L,Research,Low,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,74.8,10-20L,Medicine,High,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,69.0,30-50L,Research,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,57.2,30-50L,Government,Low,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,64.4,50L+,Business,High,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,73.3,50L+,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,80.3,10-20L,Business,High,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,51.1,50L+,Technology,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,67.7,20-30L,Technology,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,68.5,50L+,Research,High,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,62.3,10-20L,Medicine,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,90.2,10-20L,Research,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,69.7,20-30L,Technology,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,64.9,20-30L,Government,Low,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,63.5,5-10L,Medicine,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,66.3,30-50L,Research,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,67.3,50L+,Research,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,78.5,50L+,Arts,High,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,78.7,5-10L,Medicine,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,70.2,50L+,Research,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,57.1,10-20L,Medicine,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,78.9,20-30L,Arts,High,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,53.6,5-10L,Research,High,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,90.3,10-20L,Technology,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,88.2,5-10L,Technology,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,63.8,30-50L,Arts,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,63.9,5-10L,Research,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,72.9,20-30L,Business,High,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,69.0,5-10L,Research,Low,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,64.4,20-30L,Research,High,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,81.5,30-50L,Business,Low,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,87.9,20-30L,Technology,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,84.0,10-20L,Government,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,62.3,30-50L,Arts,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,72.0,20-30L,Arts,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,81.5,20-30L,Research,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,61.8,30-50L,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,80.9,50L+,Business,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,67.4,10-20L,Government,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,55.9,10-20L,Research,High,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,72.2,30-50L,Research,High,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,55.2,30-50L,Arts,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,74.2,10-20L,Business,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,57.3,30-50L,Government,High,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,72.2,50L+,Technology,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,73.6,50L+,Business,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,67.6,20-30L,Business,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,65.6,10-20L,Government,High,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,76.3,10-20L,Medicine,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,71.7,30-50L,Medicine,High,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,60.7,10-20L,Government,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,60.1,10-20L,Government,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,64.5,30-50L,Technology,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,85.9,20-30L,Research,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,62.8,20-30L,Business,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,74.0,50L+,Business,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,79.4,5-10L,Business,Low,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,59.3,10-20L,Research,Low,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,58.6,50L+,Government,High,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,77.4,5-10L,Technology,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,60.4,50L+,Government,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,73.2,20-30L,Technology,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,46.2,50L+,Business,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,89.7,5-10L,Technology,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,73.0,20-30L,Research,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,69.4,10-20L,Government,Low,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,68.8,30-50L,Government,High,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,76.1,10-20L,Technology,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,72.1,20-30L,Business,Medium,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,79.9,10-20L,Technology,Low,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,48.8,30-50L,Government,Low,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,63.1,20-30L,Technology,Low,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,57.4,50L+,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,74.8,20-30L,Medicine,Low,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,78.0,10-20L,Medicine,Low,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,72.8,5-10L,Arts,High,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,65.0,10-20L,Business,High,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,80.6,5-10L,Technology,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,63.9,30-50L,Government,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,54.4,20-30L,Medicine,Medium,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,82.0,50L+,Business,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,83.5,50L+,Medicine,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,80.1,10-20L,Research,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,82.5,50L+,Technology,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,71.5,50L+,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,74.4,30-50L,Business,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,58.5,30-50L,Medicine,High,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,76.8,50L+,Arts,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,81.3,5-10L,Technology,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,90.3,10-20L,Business,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,71.6,30-50L,Arts,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,94.5,30-50L,Business,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,68.1,30-50L,Research,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,82.4,10-20L,Business,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,73.0,10-20L,Research,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
